Official Name,Country/Org of UN Registry,Country of Operator,Operator,Users,Purpose,Period (minutes),Date of Launch,Contractor,Country of Contractor,Launch Site,Launch Vehicle,NORAD Number,Year
COSMIC-F,NR,Taiwan/USA,"National Space Program Office (NSPO)/University Corporation for Atmospheric Research (UCAR) Boulder, CO",Government/Civil,Earth Observation,100.9,4/15/2006,Orbital Sciences Corp.,USA,Vandenberg AFB,Minotaur-1,29052,2006
Cosmos 2504,Russia,Russia,Ministry of Defense,Military,Technology Development,112.41,3/31/2015,ISS Reshetnev,Russia,Plesetsk Cosmodrome,Rokot,40555,2015
Cosmos 2519,Russia,Russia,Ministry of Defense,Military,Space Observation,97.9,6/23/2017,NPO Lavochkin,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,42798,2017
Cosmos 2521,Russia,Russia,Ministry of Defense,Military,Space Observation,97.2,6/23/2017,NPO Lavochkin,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,42919,2017
Cosmos 2535,Russia,Russia,Ministry of Defense,Military,Technology Development,97,7/10/2019,Unknown,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,44421,2019
Cosmos 2536,NR (11/19),Russia,Ministry of Defense,Military,Technology Development,97,7/10/2019,Unknown,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,44424,2019
Cosmos 2537,Russia,Russia,Ministry of Defense,Military,Technology Development,97,7/10/2019,Unknown,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,44422,2019
Cosmos2538,Russia,Russia,Ministry of Defense,Military,Technology Development,97,7/10/2019,Unknown,Russia,Plesetsk Cosmodrome,Soyuz 2.1v,44423,2019
COSMO-Skymed 1,Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Civil,Earth Observation,97.2,6/8/2007,Thales Alenia Space,France/Italy,Vandenberg AFB,Delta 7000,31598,2007
COSMO-Skymed 2,Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,97.2,12/9/2007,Thales Alenia Space,Italy,Vandenberg AFB,Delta 2,32376,2007
COSMO-Skymed 3,Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,97.2,10/25/2008,Thales Alenia Space,Italy,Vandenberg AFB,Delta 7420,33412,2008
COSMO-Skymed 4,Italy,Italy,Italian Space Agency/Ministry of Defense,Military/Government,Earth Observation,97.2,11/6/2010,Thales Alenia Space,Italy,Vandenberg AFB,Delta 2,37216,2010
CP-10,NR,USA,California Polytechnic State University/NASA JPL,Civil,Earth Observation,95.6,1/31/2015,California Polytechnic University/NASA JPL,USA,Vandenberg AFB,Delta 2,40380,2015
Cryosat-2,ESA,ESA,European Space Agency (ESA),Government,Earth Observation,99.2,4/8/2010,EADS Astrium,France/UK/Germany/Spain,Baikonur Cosmodrome,Dnepr,36508,2010
CSIM-FD,NR,USA,University of Colorado,Civil,Space Science,96.3,12/3/2018,Blue Canyon Technologies,USA,Vandenberg AFB,Falcon 9,43793,2018
CSO-1,France,France,Directorate General of Armaments (DGA),Military,Earth Observation,100.87,12/19/2018,Centre National D'études Spatiales (CNES),France,Guiana Space Center,Soyuz,43866,2018
Cubebug 2,NR,Argentina,"Argentinian Ministry of Science, Technology and Productive Innovation/Radio Club Bariloche",Civil,Technology Development,97.8,11/21/2013,"Argentinian Ministry of Science, Technology and Productive Innovation",Argentina,Dombarovsky Air Base,Dnepr,39440,2013
CubeRRT,NR,USA,Ohio State University/NASA,Civil/Government,Technology Development,92.6,7/13/2018,Ohio State University/NASA,USA,International Space Station,Nanorack Deployer,43546,2018
Cubesail USAT,NR,USA,University of Illinois Urbana-Champaign,Civil,Technology Development,94.7,12/16/2018,University of Illinois Urbana-Champaign,USA,Rocket Lab Launch Complex 1,Electron,43858,2018
Cubesat XI-IV ,Japan,Japan,"Department of Astronautics, University of Tokyo",Civil,Technology Development,101.3,6/30/2003,"Department of Astronautics, University of Tokyo",Japan,Plesetsk Cosmodrome,Dnepr,27848,2003
CYGNSS-A,USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,95.16,12/15/2016,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,41887,2016
CYGNSS-B,USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,95.13,12/15/2016,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,41886,2016
CYGNSS-C,USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,95.1,12/15/2016,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,41891,2016
CYNGSS-D,USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,95.13,12/15/2016,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,41885,2016
CYGNSS-E,USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,95.15,12/15/2016,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,41884,2016
CYGNSS-F,USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,95.12,12/15/2016,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,41889,2016
CYGNSS-G,USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,95.12,12/15/2016,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,41890,2016
CYGNSS-H,USA,USA,University of Michigan/NASA Earth Science Technology Office,Government,Earth Observation,95.15,12/15/2016,Southwest Research Institute,USA,Orbital ATK L-1011,Pegasus,41888,2016
Daichi-2,NR,Japan,Japan Aerospace Exploration Agency (JAXA),Government,Earth Observation,97.36,5/24/2014,Mitsubishi Electric,Japan,Tanegashima Space Center,H2A,39766,2014
DAMPE,NR,China,Chinese Academy of Sciences,Government,Space Science,94.54,12/17/2015,China Academy of Science,China,Jiuquan Satellite Launch Center,Long March 2D,41173,2015
DAVE,USA,USA,California Polytechnic State University,Civil,Technology Development,93.7,9/15/2018,California Polytechnic University,USA,Vandenberg AFB,Delta 2,43615,2018
DaVinci,NR,USA,North Idaho STEM Charter Academy,Civil,Educational,94.6,12/16/2018,North Idaho STEM Charter Academy,USA,Rocket Lab Launch Complex 1,Electron,43857,2018
DCBB,NR,China,China Amateur Satellite - CAMSAT,Civil,Technology Development,95.13,9/19/2015,Shenzhen Aerospace Dongfanghong HIT Satellite Ltd./CAMSAT,China,Taiyuan Launch Center,Long March 6,40912,2015
Deimos 1,Spain,Spain,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,98,7/29/2009,Surrey Satellite Technology Ltd.,UK,Baikonur Cosmodrome,Dnepr,35681,2009
Deimos 2,NR,Spain,Deimos Imaging/DMC International Imaging (DMCII),Government,Earth Observation,96.85,6/19/2014,Satrec Initiative,South Korea,Dombarovsky Air Base,Dnepr,40013,2014
Delfi-C3,NR,Netherlands,"Technical University, Delft",Civil,Technology Development,96.8,4/28/2008,Technical University of Delft,Netherlands,Satish Dhawan Space Centre,PSLV C9,32789,2008
Delfini-1,Denmark,Denmark,Aarhus University,Civil,Technology Development/Education,92.7,1/31/2019,"Departments of Physics and Astronomy, Engineering, and Geoscience.",Denmark,International Space Station,Nanorack Deployer,44030,2019
Dellingr,NR,USA,NASA Goddard Space Flight Center,Government,Technology Development,92.6,11/20/2017,NASA Goddard Space Flight Center,USA,International Space Station,Nanorack Deployer,43021,2017
DHFR,NR,USA,DARPA (Defense Advanced Research Projects Agency),Military,Technology Development,93.7,8/26/2017,DARPA/University of Utah,USA,Cape Canaveral,Minotaur 4,42924,2017
Diamond Blue,United Kingdom,United Kingdom,"Sky and Space Global, UK",Commercial,Technology Development,96.4,6/23/2017,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,42786,2017
Diamond Green,United Kingdom,United Kingdom,"Sky and Space Global, UK",Commercial,Technology Development,96.4,6/23/2017,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,42785,2017
Diamond Red,United Kingdom,United Kingdom,"Sky and Space Global, UK",Commercial,Technology Development,96.4,6/23/2017,GomSpace ApS,Denmark,Satish Dhawan Space Centre,PSLV,42783,2017
Dido-2,NR,Switzerland,SpacePharma,Commercial,Technology Development,94.6,2/15/2017,Innovative Solutions in Space BV,Netherlands,Satish Dhawan Space Centre,PSLV XL,42000,2017
DirecTV-10,USA,USA,"DirecTV, Inc.",Commercial,Communications,1436.1,7/7/2007,Boeing Space & Intelligence Systems,USA,Baikonur Cosmodrome,Proton M,31862,2007
DirecTV-11,USA,USA,"DirecTV, Inc.",Commercial,Communications,1436.1,3/19/2008,Boeing Satellite Development Center,USA,Sea Launch Odyssey,Zenit 3SL,32729,2008
DirecTV-12,USA,USA,"DirecTV, Inc.",Commercial,Communications,1436.04,12/29/2009,Boeing Space Systems,USA,Baikonur Cosmodrome,Breeze M,36131,2009
DirecTV-14,USA,USA,"DirecTV, Inc.",Commercial,Communications,1443.51,12/6/2014,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,40333,2014
DirecTV-15,NR,USA,"DirecTV, Inc.",Commercial,Communications,1434.07,5/27/2015,Airbus Defense and Space,Germany/France,Guiana Space Center,Ariane 5 ECA,40663,2015
DirecTV-4S,USA,USA,"DirecTV, Inc.",Commercial,Communications,1436.09,11/27/2001,Hughes Space and Communications Co.,USA,Guiana Space Center,Ariane 44LP,26985,2001
DirecTV-5,USA,USA,"DirecTV, Inc.",Commercial,Communications,1436.08,5/7/2002,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton K,27426,2002
DirecTV-7S,USA,USA,"DirecTV, Inc.",Commercial,Communications,1436.1,5/4/2004,Space Systems/Loral,USA,Sea Launch Odyssey,Zenit 3SL,28238,2004
DirecTV-8,USA,USA,"DirecTV, Inc.",Commercial,Communications,1436.1,5/22/2005,Space Systems/Loral,USA,Baikonur Cosmodrome,Proton M/Breeze M,28659,2005
DirecTV-9S,USA,USA,"DirecTV, Inc.",Commercial,Communications,1436.1,10/13/2006,Space Systems/Loral,USA,Guiana Space Center,Ariane 5 ECA,29494,2006
Diwata-1,Philippines,Philippines,University of the Philippines,Government/Civil,Earth Observation,91.5,4/27/2016,Philippine Scientific Earth Observation Microsatellite (PHL-Microsat) Program,Philippines,International Space Station,J-SSOD Deployer,41463,2016
Diwata-2B,NR,Japan,"Philippines’ Department of Science and Technology, University of the Philippines Diliman, and Japan’s Hokkaido University and Tohoku University",Civil,Earth Observation,96.8,10/29/2018,PHL Microsat,Philippines,Tanegashima Space Center,H2A,43678,2018
DLR Tubsat,NR,Germany,Deutsches Zentrum für Luft- und Raumfahrt,Government,Earth Science,99.2,5/26/1999,"Institute of Aeronautics and Astronautics, Technical University of Berlin",Germany,Satish Dhawan Space Centre,PSLV C2,25757,1999
DMC 3-1,United Kingdom,United Kingdom,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,97.71,7/10/2015,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,40715,2015
DMC 3-2,United Kingdom,United Kingdom,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,97.71,7/10/2015,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,40716,2015
DMC 3-3,United Kingdom,United Kingdom,Surrey Satellite Technology Ltd.,Commercial,Earth Observation,97.69,7/10/2015,Surrey Satellite Technology Ltd.,UK,Satish Dhawan Space Centre,PSLV,40717,2015
USA 131,USA,USA,DoD/NOAA,Military,Earth Observation,101.9,4/4/1997,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2,24753,1997
USA 147,USA,USA,DoD/NOAA,Military,Earth Observation,101.8,12/12/1999,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2,25991,1999
USA 172,USA,USA,DoD/NOAA,Military,Earth Observation,101.87,10/18/2003,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Titan 2,28054,2003
USA 173,USA,USA,DoD/NOAA,Military,Earth Observation,101.89,11/4/2006,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Delta 4,29522,2006
USA 210,USA,USA,DoD/NOAA,Military,Earth Observation,101.94,10/18/2009,Lockheed Martin Missiles & Space,USA,Vandenberg AFB,Atlas 5,35951,2009
Dove 1c-1,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,96.96,6/19/2014,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,40027,2014
Dove 1c-10,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,96.95,6/19/2014,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,40023,2014
Dove 1c-11,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,96.98,6/19/2014,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,40033,2014
Dove 1c-2,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,96.98,6/19/2014,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,40029,2014
Dove 1c-3,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,97.02,6/19/2014,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,40041,2014
Dove 1c-4,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,96.98,6/19/2014,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,40031,2014
Dove 1c-5,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,97.01,6/19/2014,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,40038,2014
Dove 1c-6,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,96.99,6/19/2014,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,40036,2014
Dove 1c-7,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,96.96,6/19/2014,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,40026,2014
Dove 1c-8,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,97.02,6/19/2014,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,40040,2014
Dove 1c-9,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,96.99,6/19/2014,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,40035,2014
Dove 2,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation ,95.50,4/19/2013,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz,39132,2013
Dove 2k-1,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42852,2017
Dove 2k-10,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42895,2017
Dove 2k-11,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42894,2017
Dove 2k-12,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42893,2017
Dove 2k-13,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42891,2017
Dove  2k-14,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42892,2017
Dove 2k-15,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42890,2017
Dove 2k-16,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42889,2017
Dove 2k-17,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42888,2017
Dove 2k-18,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42887,2017
Dove 2k-19,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42886,2017
Dove 2k-2,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42853,2017
Dove 2k-20,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42885,2017
Dove 2k-21,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42860,2017
Dove 2k-22,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42861,2017
Dove 2k-23,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42859,2017
Dove 2k-24,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42857,2017
Dove 2k-25,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42884,2017
Dove 2k-26,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42883,2017
Dove 2k-27,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42882,2017
Dove 2k-28,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42880,2017
Dove  2k-29,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42871,2017
Dove 2k-3,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42850,2017
Dove 2k-30,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42872,2017
Dove 2k-31,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42869,2017
Dove 2k-32,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42870,2017
Dove  2k-33,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42879,2017
Dove 2k-34,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42878,2017
Dove 2k-35,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42877,2017
Dove  2k-36,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42876,2017
Dove 2k-37,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42867,2017
Dove 2k-38,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42868,2017
Dove 2k-39,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42866,2017
Dove 2k-4,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42851,2017
Dove 2k-40,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42865,2017
Dove 2k-41,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42875,2017
Dove 2k-43,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42874,2017
Dove 2k-44,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42873,2017
Dove 2k-45,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42856,2017
Dove 2k-46,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42858,2017
Dove 2k-47,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42854,2017
Dove 2k-48,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42855,2017
Dove 2k-5,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42864,2017
Dove 2k-6,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42897,2017
Dove 2k-7,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42862,2017
Dove 2k-8,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42863,2017
Dove 2k-9,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94,7/14/2017,"Planet Labs, Inc.",USA,Baikonur Cosmodrome,Soyuz 2.1a,42896,2017
Dove 2p-1,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.75,6/22/2016,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,41617,2016
Dove 2p-10,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.76,6/22/2016,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,41612,2016
Dove 2p-11,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.77,6/22/2016,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,41608,2016
Dove 2p-12,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.75,6/22/2016,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,41614,2016
Dove 2p-2,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.77,6/22/2016,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,41609,2016
Dove 2p-3,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.75,6/22/2016,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,41618,2016
Dove 2p-4,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.76,6/22/2016,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,41611,2016
Dove 2p-5,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.75,6/22/2016,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,41616,2016
Dove 2p-6,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.75,6/22/2016,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,41606,2016
Dove 2p-7,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.75,6/22/2016,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,41615,2016
Dove 2p-8,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.76,6/22/2016,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,41613,2016
Dove 2p-9,USA,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.77,6/22/2016,"Planet Labs, Inc.",USA,Satish Dhawan Space Centre,PSLV XL,41610,2016
Dove 3,USA,USA,"Planet Labs, Inc.",Commercial,Technology Development,98.8,11/21/2013,"Planet Labs, Inc.",USA,Dombarovsky Air Base,Dnepr,39429,2013
Dove 3k-1,NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.5,12/27/2018,"Planet Labs, Inc.",USA,Vostochny Cosmodrome,Soyuz 2.1a,43894,2018
Dove 3k-10,NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.5,12/27/2018,"Planet Labs, Inc.",USA,Vostochny Cosmodrome,Soyuz 2.1a,43905,2018
Dove 3k-11,NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.5,12/27/2018,"Planet Labs, Inc.",USA,Vostochny Cosmodrome,Soyuz 2.1a,43904,2018
Dove 3k-12,NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.5,12/27/2018,"Planet Labs, Inc.",USA,Vostochny Cosmodrome,Soyuz 2.1a,43903,2018
Dove 3k-2,NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.5,12/27/2018,"Planet Labs, Inc.",USA,Vostochny Cosmodrome,Soyuz 2.1a,43895,2018
Dove 3k-3,NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.5,12/27/2018,"Planet Labs, Inc.",USA,Vostochny Cosmodrome,Soyuz 2.1a,43892,2018
Dove 3k-4,NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.5,12/27/2018,"Planet Labs, Inc.",USA,Vostochny Cosmodrome,Soyuz 2.1a,43893,2018
Dove 3k-5,NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.5,12/27/2018,"Planet Labs, Inc.",USA,Vostochny Cosmodrome,Soyuz 2.1a,43899,2018
Dove 3k-6,NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.5,12/27/2018,"Planet Labs, Inc.",USA,Vostochny Cosmodrome,Soyuz 2.1a,43896,2018
Dove 3k-7,NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.5,12/27/2018,"Planet Labs, Inc.",USA,Vostochny Cosmodrome,Soyuz 2.1a,43902,2018
Dove 3k-8,NR,USA,"Planet Labs, Inc.",Commercial,Earth Observation,94.5,12/27/2018,"Planet Labs, Inc.",USA,Vostochny Cosmodrome,Soyuz 2.1a,43901,2018
